harmonic,f0_hz,bandwidth_hz,q,b0,b1,b2,a0,a1,a2,zero_0,zero_1,pole_0,pole_1,pole_radius
1,60,2,30,0.99993717209443911,-1.9998601328682963,0.99993717209443911,1,-1.9998601328682963,0.99987434418887822,0.9999928938932473+0.0037699022544912552j,0.9999928938932473-0.0037699022544912552j,0.99993006643414839+0.0037691417960005647j,0.99993006643414839-0.0037691417960005647j,0.99993717012064243
2,120,2,60,0.99993717209443911,-1.999817499108526,0.99993717209443911,1,-1.999817499108526,0.99987434418887822,0.99997157567398298+0.0075397509303434928j,0.99997157567398298-0.0075397509303434928j,0.9999087495542629+0.0075390154336121371j,0.9999087495542629-0.0075390154336121371j,0.99993717012064209
3,180,2,90,0.99993717209443911,-1.9997464435154861,0.99993717209443911,1,-1.9997464435154861,0.99987434418887822,0.99993604564518568+0.011309492449660232j,0.99993604564518568-0.011309492449660232j,0.99987322175774318+0.011308607370910969j,0.99987322175774318-0.011308607370910969j,0.99993717012064232
4,240,2,120,0.99993717209443911,-1.9996469670990349,0.99993717209443911,1,-1.9996469670990349,0.99987434418887822,0.99988630431181635+0.015079073236037431j,0.99988630431181635-0.015079073236037431j,0.99982348354951744+0.015077994952452939j,0.99982348354951744-0.015077994952452939j,0.9999371701206422
5,300,2,150,0.99993717209443911,-1.9995190712729518,0.99993717209443911,1,-1.9995190712729518,0.99987434418887822,0.99982235238080885+0.018848439715410541j,0.99982235238080885-0.018848439715410541j,0.99975953563647624+0.018847150787752648j,0.99975953563647624-0.018847150787752648j,0.99993717012064243
6,360,2,180,0.99993717209443911,-1.99936275785492,0.99993717209443911,1,-1.99936275785492,0.99987434418887822,0.99974419076106225+0.022617538316728272j,0.99974419076106225-0.022617538316728272j,0.99968137892746012+0.022616030035582737j,0.99968137892746012-0.022616030035582737j,0.99993717012064243
7,420,2,210,0.99993717209443911,-1.9991780290664991,0.99993717209443911,1,-1.9991780290664991,0.99987434418887822,0.99965182056342572+0.026386315472773578j,0.99965182056342572-0.026386315472773578j,0.99958901453324955+0.02638458287192191j,0.99958901453324955-0.02638458287192191j,0.9999371701206422
8,480,2,240,0.99993717209443911,-1.9989648875330943,0.99993717209443911,1,-1.9989648875330943,0.99987434418887822,0.99954524310068438+0.030154717620853904j,0.99954524310068438-0.030154717620853904j,0.99948244376654727+0.030152757607372085j,0.99948244376654727-0.030152757607372085j,0.9999371701206422
9,540,2,270,0.99993717209443911,-1.9987233362839179,0.99993717209443911,1,-1.9987233362839179,0.99987434418887822,0.99942445988754003+0.033922691203660302j,0.99942445988754003-0.033922691203660302j,0.99936166814195881+0.03392050172682335j,0.99936166814195881-0.03392050172682335j,0.99993717012064209
10,600,2,300,0.99993717209443911,-1.9984533787519483,0.99993717209443911,1,-1.9984533787519483,0.99987434418887822,0.99928947264058909+0.037690182669937143j,0.99928947264058909-0.037690182669937143j,0.99922668937597425+0.037687762305667838j,0.99922668937597425-0.037687762305667838j,0.9999371701206422
